data/LAL-Bilatelal/454/000718_2_p_BolLL_sw	1	1.600000	1	1	1	1	0	0
data/LAL-Bilatelal/454/000718_2_p_BolLL_sw	2	1.600000	1	1	0	0	0	2
data/LAL-Bilatelal/189/Bombykol/000714_2_p_bol1_hi	1	2.000000	11	28	4	3	0	0
data/LAL-Bilatelal/189/Bombykol/000714_2_p_bol2_hi	1	2.000000	7	27	5	2	0	0
data/LAL-Bilatelal/118/Bombykol/001213_3_p_Bol_1_kj	1	2.000000	17	2	3	3	1	3
data/LAL-Bilatelal/118/Bombykol/001213_3_p_Bol_2_kj	1	2.000000	18	3	4	3	1	3
data/LAL-Bilatelal/118/Bombykol/001213_3_p_Bol_3_kj	1	2.000000	17	3	1	3	3	2
data/LAL-Bilatelal/210/Bombykol/010522_2_p_BolB_1_lg	1	1.999833	9	0	0	1	0	0
data/LAL-Bilatelal/457/Bombykol/000720_2_p_BoL_sw	1	2.000000	61	30	12	8	8	8
data/LAL-Bilatelal/457/Bombykol/000720_2_p_BoL_sw	2	2.000000	61	30	23	7	9	8
data/LAL-Bilatelal/191/Bombykol/000720_2_p_bol2_hi	1	1.196000	22	6	15	12	8	8
data/LAL-Bilatelal/191/Bombykol/000720_2_p_bol1_hi	1	1.293500	30	7	19	13	12	11
data/LAL-Bilatelal/75/Bombykol/991109_3_p_Bol_kj	1	2.000000	21	3	2	4	3	1
data/LAL-Bilatelal/75/Bombykol/991109_3_p_Bol_kj	2	2.000000	21	3	2	3	2	2
data/LAL-Bilatelal/75/Bombykal/991109_3_p_Bal_kj	1	2.000000	24	3	3	3	3	3
data/LAL-Bilatelal/75/Bombykal/991109_3_p_Bal_kj	2	2.000000	24	4	4	4	4	4
data/LAL-Bilatelal/184/Bombykol/000703_1_p_bol1_hi	1	2.000000	14	11	7	3	3	3
data/LAL-Bilatelal/184/Bombykol/000703_1_p_bol2_hi	1	2.000000	15	9	15	4	3	4
data/LAL-Bilatelal/184/Bombykal/000703_1_p_bal1_hi	1	2.000000	15	2	2	2	2	2
data/LAL-Bilatelal/184/Bombykal/000703_1_p_bal2_hi	1	2.000000	16	2	3	2	2	2
data/LAL-Bilatelal/187/Bombykol/000713_1_p_bol2_hi	1	1.999750	38	20	17	11	11	6
data/LAL-Bilatelal/187/Bombykol/000713_1_p_bol3_hi	1	2.000000	33	15	16	13	11	8
data/LAL-Bilatelal/187/Bombykol/000713_1_p_bol1_hi	1	1.999750	19	23	21	13	6	0
data/LAL-Bilatelal/692/recbol2	1	2.998304	80	2	7	12	28	18
data/LAL-Bilatelal/692/recnt	1	2.999137	45	9	5	5	5	5
data/LAL-Bilatelal/692/rebol1	1	2.999470	50	5	15	22	24	25
data/LAL-Bilatelal/692/rebol2	1	2.999470	89	8	11	16	23	20
data/LAL-Bilatelal/692/recbol1	1	2.998137	77	3	8	26	36	10
data/LAL-Bilatelal/692/rebal	1	2.999471	44	15	13	16	17	13
